name_of_covered_entity,state,covered_entity_type,individuals_affected,breach_submission_date,type_of_breach,location_of_breached_information,business_associate_present,web_description,year,month,breach_type_hacking_it_incident,breach_type_improper_disposal,breach_type_loss,breach_type_other,breach_type_theft,breach_type_unauthorized_access_disclosure,breach_type_unknown,primary_breach_type,location_desktop_computer,location_electronic_medical_record,location_email,location_laptop,location_network_server,location_other,location_other_portable_electronic_device,location_paper_films,primary_location,is_mega_breach,breach_size_tier,log_individuals_affected,quarter,days_since_epoch,ba_present,entity_business_associate,entity_health_plan,entity_healthcare_clearing_house,entity_healthcare_provider,region,breach_type_gap,location_gap
Ko-Kwel Wellness Center,OR,Healthcare Provider,543,2026-02-03,Hacking/IT Incident,Network Server,Yes,,2026,2,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Small,6.298949246855942,1,4773,1,False,False,False,True,West,Technical Safeguard Failure,Technical Safeguard Failure
Chattanooga C.A.R.E.S. d/b/a Cempa Community Care,TN,Healthcare Provider,1341,2026-01-30,Unauthorized Access/Disclosure,Other,Yes,,2026,1,False,False,False,False,False,True,False,Unauthorized Access/Disclosure,False,False,False,False,False,True,False,False,Other,0,Small,7.201916317531627,1,4769,1,False,False,False,True,South,Administrative Safeguard Failure,Unclassified
Baltimore City Health Department,MD,Healthcare Provider,2597,2026-01-28,Hacking/IT Incident,Network Server,Yes,,2026,1,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Small,7.862497197230545,1,4767,1,False,False,False,True,South,Technical Safeguard Failure,Technical Safeguard Failure
Deschutes County Health Services ,OR,Healthcare Provider,1305,2026-01-22,Hacking/IT Incident,Network Server,Yes,,2026,1,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Small,7.174724309836376,1,4761,1,False,False,False,True,West,Technical Safeguard Failure,Technical Safeguard Failure
Bay Area Community Health,CA,Healthcare Provider,9912,2026-01-16,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), Bay Area Community Health, reported that a subcontractor of its business associate (BA) experienced a cyber-attack that affected the protected health information (PHI) of 9,912 individuals. The PHI involved clinical and demographic information. The CE and notified HHS, affected individuals, and the media, and the subcontractor will also be notifying individuals on the CE’s behalf. OCR provided technical assistance regarding the HIPAA Rules.",2026,1,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Small,9.201602306032898,1,4755,1,False,False,False,True,West,Technical Safeguard Failure,Technical Safeguard Failure
Axis Community Health,CA,Healthcare Provider,3579,2026-01-16,Hacking/IT Incident,Network Server,Yes,,2026,1,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Small,8.183118079394745,1,4755,1,False,False,False,True,West,Technical Safeguard Failure,Technical Safeguard Failure
Santa Cruz Community Health,CA,Healthcare Provider,1487,2026-01-12,Hacking/IT Incident,Network Server,Yes,,2026,1,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Small,7.305188215393037,1,4751,1,False,False,False,True,West,Technical Safeguard Failure,Technical Safeguard Failure
Valley Family Health Care,ID,Healthcare Provider,4300,2026-01-12,Unauthorized Access/Disclosure,Electronic Medical Record,No,"The covered entity (CE), Valley Family Health Care, reported that a subcontractor of the CE’s business associate (BA) experienced a cyber-attack that compromised the protected health information (PHI) of 4,300 individuals. The PHI involved clinical and financial information. The CE notified HHS, affected individuals, the media, and the subcontractor will also be notifying individuals and the media on the CE’s behalf. OCR provided technical assistance regarding the HIPAA Rules.",2026,1,False,False,False,False,False,True,False,Unauthorized Access/Disclosure,False,True,False,False,False,False,False,False,Electronic Medical Record,0,Small,8.366602832783736,1,4751,0,False,False,False,True,West,Administrative Safeguard Failure,Technical Safeguard Failure
Open Door Community Health Centers,CA,Healthcare Provider,6633,2026-01-08,Hacking/IT Incident,Network Server,Yes,,2026,1,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Small,8.799963219506997,1,4747,1,False,False,False,True,West,Technical Safeguard Failure,Technical Safeguard Failure
Asian Americans for Community Involvement,CA,Healthcare Provider,521,2026-01-05,Hacking/IT Incident,Network Server,Yes,,2026,1,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Small,6.257667587882639,1,4744,1,False,False,False,True,West,Technical Safeguard Failure,Technical Safeguard Failure
HealthPoint Family Care,KY,Healthcare Provider,7990,2026-01-05,Unauthorized Access/Disclosure,Email,No,"The covered entity (CE), HealthPoint Family Care, reported that an employee impermissibly emailed the protected health information (PHI) of 7,990 individuals a personal email account. The PHI involved included demographic information. The CE notified HHS, the affected individuals, the media, and provided substitute notice. In response to the breach, the CE implemented additional administrative, technical, and security safeguards, and retrained workforce members to better protect its PHI.",2026,1,False,False,False,False,False,True,False,Unauthorized Access/Disclosure,False,False,True,False,False,False,False,False,Email,0,Small,8.986071187374463,1,4744,0,False,False,False,True,South,Administrative Safeguard Failure,Technical/Administrative Safeguard Failure
"Absentee Shawnee Tribal Health Authority, Inc.",OK,Healthcare Provider,1112,2025-12-31,Hacking/IT Incident,Network Server,Yes,,2025,12,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Small,7.014814351275545,4,4739,1,False,False,False,True,South,Technical Safeguard Failure,Technical Safeguard Failure
Gold Coast Health Plan,CA,Health Plan,540,2025-12-30,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), Gold Coast Health Plan, reported that its business associate (BA) experienced a cybersecurity incident that affected the protected health information (PHI) of 540 individuals. The PHI included demographic information. The CE notified HHS, affected individuals, and the media. In response to the breach, the CE and BA implemented additional administrative, technical, and security safeguards to better protect  PHI.

",2025,12,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Small,6.293419278846481,4,4738,1,False,True,False,False,West,Technical Safeguard Failure,Technical Safeguard Failure
Mendocino Community Health Clinic Inc.,CA,Healthcare Provider,3538,2025-12-29,Hacking/IT Incident,Network Server,Yes,,2025,12,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Small,8.171599480345463,4,4737,1,False,False,False,True,West,Technical Safeguard Failure,Technical Safeguard Failure
Share Ourselves,CA,Healthcare Provider,2864,2025-12-26,Hacking/IT Incident,Network Server,Yes,,2025,12,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Small,7.9603236291488395,4,4734,1,False,False,False,True,West,Technical Safeguard Failure,Technical Safeguard Failure
"Urology Associates of Green Bay, SC",WI,Healthcare Provider,4000,2025-12-24,Unauthorized Access/Disclosure,Laptop,No,"Urology Associates of Green Bay, the covered entity (CE), reported that an employee made the email addresses of approximately 4,000 individuals viewable by others. The protected health information included email addresses only. The CE notified HHS, the affected individuals, and media. As part of its mitigation efforts, the CE retrained staff and implemented additional safeguards.",2025,12,False,False,False,False,False,True,False,Unauthorized Access/Disclosure,False,False,False,True,False,False,False,False,Laptop,0,Small,8.294299608857235,4,4732,0,False,False,False,True,Midwest,Administrative Safeguard Failure,Physical/Technical Safeguard Failure
Variety Care,OK,Healthcare Provider,17163,2025-12-22,Hacking/IT Incident,Network Server,Yes,,2025,12,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Medium,9.750569446111415,4,4730,1,False,False,False,True,South,Technical Safeguard Failure,Technical Safeguard Failure
Advocates for a Healthy Community dba Jordan Valley Community Health Center,MO,Healthcare Provider,8842,2025-12-22,Hacking/IT Incident,Network Server,Yes,,2025,12,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Small,9.087381464575735,4,4730,1,False,False,False,True,Midwest,Technical Safeguard Failure,Technical Safeguard Failure
Mission Neighborhood Health Center,CA,Healthcare Provider,3741,2025-12-19,Hacking/IT Incident,Network Server,Yes,,2025,12,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Small,8.227375506834035,4,4727,1,False,False,False,True,West,Technical Safeguard Failure,Technical Safeguard Failure
Friends of Family Health Center,CA,Healthcare Provider,2256,2025-12-16,Hacking/IT Incident,Network Server,Yes,,2025,12,True,False,False,False,False,False,False,Hacking/IT Incident,False,False,False,False,True,False,False,False,Network Server,0,Small,7.721791776817535,4,4724,1,False,False,False,True,West,Technical Safeguard Failure,Technical Safeguard Failure
